1521010480.581279 "[24.25, 24.25, 24.5, 24.25, 24.25, 24.25, 24.5, 25.0, 24.5, 23.5, 24.25, 24.5, 24.25, 24.5, 24.75, 24.75, 22.5, 24.5, 20.75, 24.5, 28.0, 24.25, 20.75, 24.5, 24.25, 24.25, 24.25, 24.0, 24.5, 25.0, 24.75, 25.0, 24.5, 24.75, 24.75, 24.5, 24.5, 24.5, 24.75, 25.0, 25.25, 24.5, 25.0, 24.75, 24.75, 24.75, 25.25, 25.25, 25.75, 25.0, 25.5, 25.25, 24.75, 24.75, 25.0, 25.5, 25.75, 25.5, 25.5, 25.5, 25.75, 25.5, 25.75, 26.25]"
1521010480.621578 "[24.25, 24.25, 24.5, 24.25, 24.25, 24.25, 24.5, 25.0, 24.5, 23.5, 24.25, 24.5, 24.25, 24.5, 24.75, 24.75, 22.5, 24.5, 20.75, 24.5, 28.0, 24.25, 20.75, 24.5, 24.25, 24.25, 24.25, 24.0, 24.5, 25.0, 24.75, 25.0, 24.5, 24.75, 24.75, 24.5, 24.5, 24.5, 24.75, 25.0, 25.25, 24.5, 25.0, 24.75, 24.75, 24.75, 25.25, 25.25, 25.75, 25.0, 25.5, 25.25, 24.75, 24.75, 25.0, 25.5, 25.75, 25.5, 25.75, 25.0, 25.5, 25.5, 26.0, 26.0]"
1521010480.663397 "[24.25, 24.5, 24.75, 24.75, 24.75, 24.25, 24.5, 25.0, 23.75, 24.0, 23.75, 24.25, 23.75, 24.5, 24.25, 24.5, 24.75, 24.5, 24.25, 24.25, 24.5, 24.5, 24.0, 24.75, 24.0, 24.25, 24.25, 24.25, 24.25, 24.0, 24.5, 24.5, 25.25, 24.75, 24.75, 24.5, 24.5, 24.5, 24.5, 25.0, 24.75, 24.75, 25.0, 24.5, 24.5, 24.5, 25.25, 25.25, 25.25, 25.25, 25.5, 25.25, 25.25, 25.5, 24.75, 25.5, 25.5, 25.5, 25.75, 25.0, 25.5, 25.5, 26.0, 26.0]"
1521010480.711715 "[24.25, 24.5, 24.75, 24.75, 24.75, 24.25, 24.5, 25.0, 23.75, 24.0, 23.75, 24.25, 23.75, 24.5, 24.25, 24.5, 24.75, 24.5, 24.25, 24.25, 24.5, 24.5, 24.0, 24.75, 24.0, 24.25, 24.25, 24.25, 24.25, 24.0, 24.5, 24.5, 25.25, 24.75, 24.75, 24.5, 24.5, 24.5, 24.5, 25.0, 24.75, 24.75, 25.0, 24.5, 24.5, 24.5, 25.25, 25.25, 25.25, 25.25, 25.5, 25.25, 25.25, 25.5, 24.75, 25.5, 25.5, 25.5, 25.75, 25.0, 25.5, 25.5, 26.0, 26.0]"
1521010480.765227 "[24.25, 24.5, 24.75, 24.75, 24.75, 24.25, 24.5, 25.0, 24.25, 24.25, 24.25, 24.75, 23.75, 25.0, 24.75, 24.25, 25.0, 24.25, 25.0, 24.75, 24.5, 24.5, 24.5, 24.75, 24.75, 24.25, 24.5, 24.25, 24.5, 24.75, 24.75, 24.5, 25.0, 24.75, 25.0, 24.75, 24.75, 25.0, 24.5, 25.25, 25.25, 25.0, 25.0, 25.0, 24.75, 24.75, 25.0, 25.5, 25.75, 25.5, 25.5, 25.75, 25.0, 25.25, 25.25, 26.0, 25.25, 25.75, 25.25, 25.5, 25.5, 26.0, 25.75, 26.5]"
1521010480.809089 "[24.5, 24.5, 24.5, 24.5, 24.25, 24.25, 24.5, 25.25, 24.25, 24.25, 24.25, 24.75, 23.75, 25.0, 24.75, 24.25, 25.0, 24.25, 25.0, 24.75, 24.5, 24.5, 24.5, 24.75, 24.75, 24.25, 24.5, 24.25, 24.5, 24.75, 24.75, 24.5, 25.0, 24.75, 25.0, 24.75, 24.75, 25.0, 24.5, 25.25, 25.25, 25.0, 25.0, 25.0, 24.75, 24.75, 25.0, 25.5, 25.75, 25.5, 25.5, 25.75, 25.0, 25.25, 25.25, 26.0, 25.25, 25.75, 25.25, 25.5, 25.5, 26.0, 25.75, 26.5]"
1521010480.853511 "[24.5, 24.5, 24.5, 24.5, 24.25, 24.25, 24.5, 25.25, 24.25, 24.25, 24.25, 24.75, 23.75, 25.0, 24.75, 24.25, 25.0, 24.25, 25.0, 24.75, 24.5, 24.5, 24.5, 25.5, 24.5, 24.5, 24.75, 24.5, 24.5, 24.75, 24.75, 24.5, 25.0, 24.75, 24.75, 24.75, 24.5, 24.5, 24.5, 25.0, 24.75, 24.75, 25.25, 24.75, 24.5, 24.5, 25.5, 25.5, 24.75, 25.5, 25.5, 25.75, 25.0, 25.75, 25.5, 25.75, 25.5, 25.5, 25.5, 24.75, 26.25, 26.0, 25.25, 26.25]"
1521010480.895965 "[24.5, 24.75, 25.5, 24.25, 25.0, 24.5, 24.5, 24.75, 24.25, 24.0, 24.5, 24.75, 24.25, 24.75, 24.0, 24.25, 24.75, 24.75, 24.75, 24.75, 24.25, 24.5, 24.25, 25.5, 24.5, 24.5, 24.75, 24.5, 24.5, 24.75, 24.75, 24.5, 25.0, 24.75, 24.75, 24.75, 24.5, 24.5, 24.5, 25.0, 24.75, 24.75, 25.25, 24.75, 24.5, 24.5, 25.5, 25.5, 24.75, 25.5, 25.5, 25.75, 25.0, 25.75, 25.5, 25.75, 25.5, 25.5, 25.5, 24.75, 26.25, 26.0, 25.25, 26.25]"
1521010480.938648 "[24.5, 24.75, 25.5, 24.25, 25.0, 24.5, 24.5, 24.75, 24.25, 24.0, 24.5, 24.75, 24.25, 24.75, 24.0, 24.25, 24.75, 24.75, 24.75, 24.75, 24.25, 24.5, 24.25, 25.5, 24.5, 24.5, 24.75, 24.5, 24.5, 24.75, 24.75, 24.5, 25.0, 24.75, 24.75, 24.75, 24.5, 24.5, 24.5, 25.0, 24.75, 24.75, 25.25, 24.75, 24.5, 24.5, 25.5, 25.25, 25.5, 25.5, 25.75, 25.5, 25.0, 25.25, 25.25, 25.25, 25.75, 26.25, 26.25, 25.75, 26.0, 26.0, 26.25, 27.0]"
1521010480.980917 "[24.0, 24.25, 24.75, 24.75, 24.25, 24.0, 24.75, 24.75, 24.0, 23.75, 24.5, 24.75, 24.0, 24.5, 24.5, 24.0, 24.75, 24.5, 25.0, 24.75, 24.5, 24.25, 24.5, 25.0, 24.75, 24.25, 24.5, 24.5, 24.75, 24.75, 24.5, 24.5, 25.25, 25.25, 25.0, 25.0, 24.75, 25.0, 24.75, 25.25, 24.75, 24.75, 25.0, 25.0, 24.5, 24.75, 25.5, 25.25, 25.5, 25.5, 25.75, 25.5, 25.0, 25.25, 25.25, 25.25, 25.75, 26.25, 26.25, 25.75, 26.0, 26.0, 26.25, 27.0]"
